"time","heart_rate"
2013-06-08 08:04:42,83
2013-06-08 08:04:43,84
2013-06-08 08:04:44,84
2013-06-08 08:04:45,86
2013-06-08 08:04:46,89
2013-06-08 08:04:47,93
2013-06-08 08:04:48,96
2013-06-08 08:04:49,98
2013-06-08 08:04:50,140
2013-06-08 08:04:51,102
2013-06-08 08:04:52,104
2013-06-08 08:04:53,107
2013-06-08 08:04:54,110
2013-06-08 08:04:55,112
2013-06-08 08:04:56,115
2013-06-08 08:04:57,141
2013-06-08 08:04:58,119
2013-06-08 08:04:59,120
2013-06-08 08:05:00,122
2013-06-08 08:05:01,123
2013-06-08 08:05:02,125
2013-06-08 08:05:03,127
2013-06-08 08:05:04,128
2013-06-08 08:05:05,130
2013-06-08 08:05:06,131
2013-06-08 08:05:07,132
2013-06-08 08:05:08,133
2013-06-08 08:05:09,133
2013-06-08 08:05:10,135
2013-06-08 08:05:11,135
2013-06-08 08:05:12,136
2013-06-08 08:05:13,137
2013-06-08 08:05:14,137
2013-06-08 08:05:15,138
2013-06-08 08:05:16,139
2013-06-08 08:05:17,139
2013-06-08 08:05:18,140
2013-06-08 08:05:19,140
2013-06-08 08:05:20,141
2013-06-08 08:05:21,141
2013-06-08 08:05:22,141
2013-06-08 08:05:23,115
2013-06-08 08:05:24,142
2013-06-08 08:05:25,142
2013-06-08 08:05:26,142
2013-06-08 08:05:27,217
2013-06-08 08:05:28,143
2013-06-08 08:05:29,143
2013-06-08 08:05:30,132
2013-06-08 08:05:31,143
2013-06-08 08:05:32,143
2013-06-08 08:05:33,144
2013-06-08 08:05:34,121
2013-06-08 08:05:35,144
2013-06-08 08:05:36,145
2013-06-08 08:05:37,145
2013-06-08 08:05:38,145
2013-06-08 08:05:39,145
2013-06-08 08:05:40,145
2013-06-08 08:05:41,195
2013-06-08 08:05:42,146
2013-06-08 08:05:43,146
2013-06-08 08:05:44,147
2013-06-08 08:05:45,147
2013-06-08 08:05:46,147
2013-06-08 08:05:47,147
2013-06-08 08:05:48,147
2013-06-08 08:05:49,147
2013-06-08 08:05:50,148
2013-06-08 08:05:51,148
2013-06-08 08:05:52,148
2013-06-08 08:05:53,149
2013-06-08 08:05:54,149
2013-06-08 08:05:55,149
2013-06-08 08:05:56,149
2013-06-08 08:05:57,150
2013-06-08 08:05:58,150
2013-06-08 08:05:59,150
2013-06-08 08:06:00,151
2013-06-08 08:06:01,151
2013-06-08 08:06:02,151
2013-06-08 08:06:03,152
2013-06-08 08:06:04,152
2013-06-08 08:06:05,153
2013-06-08 08:06:06,153
2013-06-08 08:06:07,153
2013-06-08 08:06:08,153
2013-06-08 08:06:09,153
2013-06-08 08:06:10,153
2013-06-08 08:06:11,153
2013-06-08 08:06:12,153
2013-06-08 08:06:13,153
2013-06-08 08:06:14,153
2013-06-08 08:06:15,153
2013-06-08 08:06:16,153
2013-06-08 08:06:17,80
2013-06-08 08:06:18,153
2013-06-08 08:06:19,153
2013-06-08 08:06:20,153
2013-06-08 08:06:21,153
2013-06-08 08:06:22,153
2013-06-08 08:06:23,153
2013-06-08 08:06:24,153
2013-06-08 08:06:25,153
2013-06-08 08:06:26,153
2013-06-08 08:06:27,153
2013-06-08 08:06:28,153
2013-06-08 08:06:29,152
2013-06-08 08:06:30,153
2013-06-08 08:06:31,153
2013-06-08 08:06:32,153
2013-06-08 08:06:33,152
2013-06-08 08:06:34,152
2013-06-08 08:06:35,153
2013-06-08 08:06:36,153
2013-06-08 08:06:37,153
2013-06-08 08:06:38,153
2013-06-08 08:06:39,153
2013-06-08 08:06:40,153
2013-06-08 08:06:41,153
2013-06-08 08:06:42,168
2013-06-08 08:06:43,153
2013-06-08 08:06:44,143
2013-06-08 08:06:45,153
2013-06-08 08:06:46,153
2013-06-08 08:06:47,153
2013-06-08 08:06:48,143
2013-06-08 08:06:49,154
2013-06-08 08:06:50,153
2013-06-08 08:06:51,153
2013-06-08 08:06:52,154
2013-06-08 08:06:53,154
2013-06-08 08:06:54,154
2013-06-08 08:06:55,154
2013-06-08 08:06:56,154
2013-06-08 08:06:57,154
2013-06-08 08:06:58,154
2013-06-08 08:06:59,154
2013-06-08 08:07:00,154
2013-06-08 08:07:01,253
2013-06-08 08:07:02,154
2013-06-08 08:07:03,154
2013-06-08 08:07:04,155
2013-06-08 08:07:05,155
2013-06-08 08:07:06,155
2013-06-08 08:07:07,154
2013-06-08 08:07:08,154
2013-06-08 08:07:09,154
2013-06-08 08:07:10,154
2013-06-08 08:07:11,154
2013-06-08 08:07:12,154
2013-06-08 08:07:13,154
2013-06-08 08:07:14,154
2013-06-08 08:07:15,154
2013-06-08 08:07:16,154
2013-06-08 08:07:17,154
2013-06-08 08:07:18,154
2013-06-08 08:07:19,154
2013-06-08 08:07:20,154
2013-06-08 08:07:21,64
2013-06-08 08:07:22,154
2013-06-08 08:07:23,154
2013-06-08 08:07:24,154
2013-06-08 08:07:25,154
2013-06-08 08:07:26,154
